x_by_lambda_0 z_by_lambda_0 G_EJ_xx G_HJ_xx G_EJ_xy G_HJ_xy G_EJ_xz G_HJ_xz G_EJ_yx G_HJ_yx G_EJ_yy G_HJ_yy G_EJ_yz G_HJ_yz G_EJ_zx G_HJ_zx G_EJ_zy G_HJ_zy G_EJ_zz G_HJ_zz 
-4.83051 -0.79661 -0.000274515 -2.04117e-21 -5.67266e-19 -1.92094e-05 0.00628863 -4.46868e-21 -5.67266e-19 2.54197e-06 -0.0049066 2.04117e-21 -7.70135e-19 -3.64895e-05 0.000421609 1.64745e-21 -5.16322e-20 1.34525e-05 -0.00425133 0 
-4.83051 -0.627119 0.00229832 1.97926e-21 6.45639e-19 2.83709e-05 -0.00813549 5.3924e-21 6.45639e-19 -1.2209e-05 0.00757037 -1.97926e-21 9.9631e-19 4.40323e-05 -0.00138302 -2.34312e-21 1.69371e-19 -1.9133e-05 0.00558083 0 
-4.83051 -0.457627 0.000411242 2.43755e-21 6.79256e-19 2.32045e-05 -0.0076103 5.37388e-21 6.79256e-19 -3.30038e-06 0.00595779 -2.43755e-21 9.31993e-19 4.3881e-05 -0.000509066 -1.98225e-21 6.23426e-20 -1.61863e-05 0.00516309 0 
-4.83051 -0.288136 -0.00237175 -1.92234e-21 -6.36528e-19 -2.82285e-05 0.00807459 -5.32737e-21 -6.36528e-19 1.25314e-05 -0.0075694 1.92234e-21 -9.88852e-19 -4.35013e-05 0.0014103 2.34005e-21 -1.72712e-19 1.91079e-05 -0.00557086 0 
-4.83051 -0.118644 -0.00056981 -2.87167e-21 -8.02926e-19 -2.76263e-05 0.00907425 -6.37426e-21 -8.02926e-19 4.17725e-06 -0.0071262 2.87167e-21 -1.11128e-18 -5.20498e-05 0.000609742 2.35462e-21 -7.46719e-20 1.92269e-05 -0.0061771 0 
-4.83051 0.0508475 0.00180335 7.48406e-23 7.41698e-19 1.13635e-05 -0.00283571 2.78159e-21 7.41698e-19 -1.07523e-05 0.00785978 -7.48406e-23 3.47274e-19 2.27134e-05 -0.00326243 -2.41262e-21 3.99532e-19 -1.97006e-05 0.00793322 0 
-4.83051 0.220339 0.00134772 -6.5597e-22 2.58681e-18 8.60971e-06 -0.002805 6.39072e-21 2.58681e-18 -1.39661e-05 0.0224707 6.5597e-22 3.43513e-19 5.21842e-05 -0.00453042 -7.10801e-21 5.54816e-19 -5.80413e-05 0.0189307 0 
-4.83051 0.389831 0.000786374 -1.53223e-21 4.25477e-18 2.63181e-06 -0.00207441 9.21937e-21 4.25477e-18 -1.51434e-05 0.0355292 1.53223e-21 2.54043e-19 7.52819e-05 -0.00504078 -1.12852e-20 6.17318e-19 -9.21508e-05 0.0276058 0 
-4.83051 0.559322 0.000335125 -2.43049e-21 5.66119e-18 -5.37629e-06 -0.000965363 1.12762e-20 5.66119e-18 -1.44702e-05 0.0465622 2.43049e-21 1.18223e-19 9.20771e-05 -0.00486856 -1.47818e-20 5.96227e-19 -0.000120703 0.0339647 0 
-4.83051 0.728814 0.000162198 -3.18207e-21 6.70204e-18 -1.38801e-05 0.000235373 1.26042e-20 6.70204e-18 -1.21035e-05 0.0548885 3.18207e-21 -2.88249e-20 0.000102921 -0.00409474 -1.73861e-20 5.0146e-19 -0.000141968 0.038132 0 
-4.83051 0.898305 0.000363258 -3.59681e-21 7.26291e-18 -2.11185e-05 0.00132487 1.32693e-20 7.26291e-18 -8.25164e-06 0.0596694 3.59681e-21 -1.6225e-19 0.000108352 -0.00282223 -1.88535e-20 3.45623e-19 -0.00015395 0.0403046 0 
-4.83051 1.0678 0.000938537 -3.50734e-21 7.24556e-18 -2.53402e-05 0.00220741 1.33529e-20 7.24556e-18 -3.2994e-06 0.060103 3.50734e-21 -2.7033e-19 0.000109035 -0.0012062 -1.89645e-20 1.47717e-19 -0.000154857 0.0407176 0 
-4.83051 1.23729 0.0017807 -2.82707e-21 6.60592e-18 -2.51832e-05 0.00288417 1.29404e-20 6.60592e-18 2.09847e-06 0.0557221 2.82707e-21 -3.53209e-19 0.000105666 0.00052511 -1.76091e-20 -6.43075e-20 -0.00014379 0.0396006 0 
-4.83051 1.40678 0.00268707 -1.60528e-21 5.39078e-18 -2.01349e-05 0.00340468 1.21e-20 5.39078e-18 7.02682e-06 0.0467061 1.60528e-21 -4.16953e-19 9.88036e-05 0.00207907 -1.48702e-20 -2.54612e-19 -0.000121424 0.0371175 0 
-4.83051 1.57627 0.00340604 -5.52776e-23 3.75634e-18 -1.09089e-05 0.00378762 1.08558e-20 3.75634e-18 1.04575e-05 0.0340789 5.52776e-23 -4.6385e-19 8.86441e-05 0.00314367 -1.10687e-20 -3.84989e-19 -9.03831e-05 0.0333037 0 
