z_by_lambda_0 V_re V_im I_re I_im Z_rel_re Z_rel_im
-0.362954 5.557438e+01 -3.236201e+01 -4.289383e-01 2.826517e-01 -3.318039e-01 -1.837700e-02
-0.355444 6.005907e+01 -2.437579e+01 -4.682336e-01 2.209386e-01 -3.318039e-01 -1.837700e-02
-0.347935 6.339648e+01 -1.576872e+01 -4.986531e-01 1.537672e-01 -3.318039e-01 -1.837700e-02
-0.340426 6.550076e+01 -6.705569e+00 -5.194392e-01 8.241351e-02 -3.318039e-01 -1.837700e-02
-0.332916 6.630970e+01 2.637047e+00 -5.300178e-01 8.258828e-03 -3.318039e-01 -1.837700e-02
-0.325407 6.578641e+01 1.207404e+01 -5.300128e-01 -6.723706e-02 -3.318039e-01 -1.837700e-02
-0.317897 6.392039e+01 2.141549e+01 -5.192567e-01 -1.425640e-01 -3.318039e-01 -1.837700e-02
-0.310388 6.072827e+01 3.047038e+01 -4.977977e-01 -2.161914e-01 -3.318039e-01 -1.837700e-02
-0.302879 5.625379e+01 3.905053e+01 -4.659015e-01 -2.865988e-01 -3.318039e-01 -1.837700e-02
-0.295369 5.056741e+01 4.697436e+01 -4.240500e-01 -3.523071e-01 -3.318039e-01 -1.837700e-02
-0.287860 4.376532e+01 5.407076e+01 -3.729346e-01 -4.119090e-01 -3.318039e-01 -1.837700e-02
-0.280350 3.596781e+01 6.018269e+01 -3.134453e-01 -4.640991e-01 -3.318039e-01 -1.837700e-02
-0.272841 2.731731e+01 6.517059e+01 -2.466566e-01 -5.077012e-01 -3.318039e-01 -1.837700e-02
-0.265332 1.797578e+01 6.891550e+01 -1.738074e-01 -5.416951e-01 -3.318039e-01 -1.837700e-02
-0.257822 8.121767e+00 7.132178e+01 -9.627968e-02 -5.652391e-01 -3.318039e-01 -1.837700e-02
-0.250313 -2.052951e+00 7.231943e+01 -1.557192e-02 -5.776903e-01 -3.318039e-01 -1.837700e-02
-0.242804 -1.234707e+01 7.186592e+01 6.672910e-02 -5.786205e-01 -3.318039e-01 -1.837700e-02
-0.235294 -2.255366e+01 6.994748e+01 1.489792e-01 -5.678285e-01 -3.318039e-01 -1.837700e-02
-0.227785 -3.246431e+01 6.657984e+01 2.295091e-01 -5.453476e-01 -3.318039e-01 -1.837700e-02
