z_by_lambda_0 rho_by_lambda_0 rel_err_db_tm rel_err_db_te abs_ref_tm abs_ref_te
1.086957e+00 1.885221e+00 -1.175832e+02 -1.509225e+02 1.656522e-04 3.436499e-04
1.086957e+00 2.154435e+00 -1.176593e+02 -1.507474e+02 1.348657e-04 3.417223e-04
1.086957e+00 2.462092e+00 -1.226328e+02 -1.381714e+02 1.035522e-04 3.383185e-04
1.086957e+00 2.813684e+00 -1.102647e+02 -1.311184e+02 7.359305e-05 3.330774e-04
1.086957e+00 3.215484e+00 -9.656861e+01 -1.256733e+02 4.843522e-05 3.257192e-04
1.086957e+00 3.674662e+00 -8.697296e+01 -1.209640e+02 3.598425e-05 3.160995e-04
1.086957e+00 4.199411e+00 -8.266219e+01 -1.166725e+02 4.262517e-05 3.042402e-04
1.086957e+00 4.799096e+00 -8.023379e+01 -1.126583e+02 5.789828e-05 2.903303e-04
1.086957e+00 5.484417e+00 -7.764095e+01 -1.088326e+02 7.310393e-05 2.746979e-04
1.086957e+00 6.267603e+00 -7.475649e+01 -1.051534e+02 8.560987e-05 2.577635e-04
1.086957e+00 7.162629e+00 -7.169156e+01 -1.016027e+02 9.477823e-05 2.399876e-04
1.086957e+00 8.185467e+00 -6.854667e+01 -9.818041e+01 1.006405e-04 2.218245e-04
1.086957e+00 9.354369e+00 -6.540033e+01 -9.489834e+01 1.035073e-04 2.036868e-04
1.086957e+00 1.069019e+01 -6.231656e+01 -9.177639e+01 1.038111e-04 1.859244e-04
1.086957e+00 1.221677e+01 -5.934905e+01 -8.883751e+01 1.020242e-04 1.688149e-04
1.086957e+00 1.396135e+01 -5.654158e+01 -8.610291e+01 9.860986e-05 1.525637e-04
1.086957e+00 1.595506e+01 -5.392668e+01 -8.358790e+01 9.399492e-05 1.373100e-04
1.086957e+00 1.823348e+01 -5.152448e+01 -8.129951e+01 8.855404e-05 1.231360e-04
1.086957e+00 2.083726e+01 -4.934311e+01 -7.923636e+01 8.260380e-05 1.100772e-04
1.086957e+00 2.381286e+01 -4.738067e+01 -7.739009e+01 7.640263e-05 9.813290e-05
1.086957e+00 2.721339e+01 -4.562799e+01 -7.574748e+01 7.015444e-05 8.727512e-05
1.086957e+00 3.109952e+01 -4.407125e+01 -7.429251e+01 6.401451e-05 7.745687e-05
1.086957e+00 3.554059e+01 -4.269425e+01 -7.300802e+01 5.809632e-05 6.861841e-05
1.086957e+00 4.061586e+01 -4.147996e+01 -7.187679e+01 5.247847e-05 6.069252e-05
1.086957e+00 4.641589e+01 -4.041155e+01 -7.088233e+01 4.721130e-05 5.360836e-05
1.086957e+00 5.304417e+01 -3.947302e+01 -7.000925e+01 4.232286e-05 4.729446e-05
1.086957e+00 6.061899e+01 -3.864957e+01 -6.924348e+01 3.782407e-05 4.168075e-05
1.086957e+00 6.927551e+01 -3.792771e+01 -6.857229e+01 3.371310e-05 3.670007e-05
1.086957e+00 7.916819e+01 -3.729531e+01 -6.798430e+01 2.997892e-05 3.228902e-05
1.086957e+00 9.047357e+01 -3.674151e+01 -6.746939e+01 2.660418e-05 2.838859e-05
1.086957e+00 1.033934e+02 -3.625670e+01 -6.701861e+01 2.356749e-05 2.494433e-05
1.086957e+00 1.181582e+02 -3.583238e+01 -6.662402e+01 2.084513e-05 2.190647e-05
1.086957e+00 1.350314e+02 -3.546107e+01 -6.627867e+01 1.841233e-05 1.922979e-05
1.086957e+00 1.543142e+02 -3.513616e+01 -6.597647e+01 1.624428e-05 1.687344e-05
1.086957e+00 1.763505e+02 -3.485188e+01 -6.571198e+01 1.431675e-05 1.480067e-05
1.086957e+00 2.015338e+02 -3.460317e+01 -6.548056e+01 1.260658e-05 1.297858e-05
1.086957e+00 2.303132e+02 -3.438557e+01 -6.527810e+01 1.109196e-05 1.137778e-05
1.086957e+00 2.632024e+02 -3.419519e+01 -6.510095e+01 9.752600e-06 9.972119e-06
1.086957e+00 3.007883e+02 -3.402864e+01 -6.494593e+01 8.569815e-06 8.738345e-06
1.086957e+00 3.437414e+02 -3.388292e+01 -6.481033e+01 7.526519e-06 7.655861e-06
1.086957e+00 3.928284e+02 -3.375544e+01 -6.469164e+01 6.607197e-06 6.706434e-06
